metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio,number_denials_compared_to_10_white
35084,"Newark, NJ-PA",2164575,15854,Metropolitan Division,black,1011,838,173,TRUE,Statistically significant disparity,1.9,19
35084,"Newark, NJ-PA",2164575,15854,Metropolitan Division,latino,1840,1608,232,TRUE,Doesn't meet level of disparity,1.4,14
35084,"Newark, NJ-PA",2164575,15854,Metropolitan Division,native,23,22,1,FALSE,Not statistcially significant,0.6,6
35084,"Newark, NJ-PA",2164575,15854,Metropolitan Division,asian_cb,1627,1483,144,TRUE,Statistically significant disparity,1.7,17
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,49623,Metropolitan Division,black,2677,2239,438,TRUE,Statistically significant disparity,1.6,16
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,49623,Metropolitan Division,latino,5546,4818,728,TRUE,Doesn't meet level of disparity,1.3,13
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,49623,Metropolitan Division,native,69,51,18,FALSE,Not enough of applications,3,30
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,49623,Metropolitan Division,asian_cb,10828,9655,1173,TRUE,Doesn't meet level of disparity,1.2,12
35154,"New Brunswick-Lakewood, NJ",2373832,21017,Metropolitan Division,black,636,548,88,TRUE,Statistically significant disparity,1.9,19
35154,"New Brunswick-Lakewood, NJ",2373832,21017,Metropolitan Division,latino,1632,1453,179,TRUE,Statistically significant disparity,1.5,15
35154,"New Brunswick-Lakewood, NJ",2373832,21017,Metropolitan Division,native,33,28,5,FALSE,Not statistcially significant,1.8,18
35154,"New Brunswick-Lakewood, NJ",2373832,21017,Metropolitan Division,asian_cb,3504,3199,305,TRUE,Doesn't meet level of disparity,1.2,12
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,4450,Metropolitan Statistical Area,black,329,299,30,FALSE,Not statistcially significant,1.1,11
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,4450,Metropolitan Statistical Area,latino,608,529,79,TRUE,Statistically significant disparity,1.9,19
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,4450,Metropolitan Statistical Area,native,9,6,3,FALSE,Not statistcially significant,4.6,46
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,4450,Metropolitan Statistical Area,asian_cb,188,161,27,TRUE,Statistically significant disparity,2.5,25
45940,"Trenton-Princeton, NJ",367922,2571,Metropolitan Statistical Area,black,154,138,16,FALSE,Not enough variance in variables,1.4,14
45940,"Trenton-Princeton, NJ",367922,2571,Metropolitan Statistical Area,latino,258,219,39,FALSE,Not enough variance in variables,1.7,17
45940,"Trenton-Princeton, NJ",367922,2571,Metropolitan Statistical Area,native,4,4,0,FALSE,Not enough variance in variables,0,0
45940,"Trenton-Princeton, NJ",367922,2571,Metropolitan Statistical Area,asian_cb,608,560,48,FALSE,Not enough variance in variables,1.2,12
20700,"East Stroudsburg, PA",168032,997,Metropolitan Statistical Area,black,87,74,13,FALSE,No results,,
